Id;Hora de início;Hora de conclusăo;Email;Nome;Para o Entrevistador;Qual sua Cidade/Estado/;Eu acho que gostaria de usar esse sistema com frequęncia..;Eu acho o sistema desnecessariamente complexo..;Eu achei o sistema fácil de usar..;Eu acho que precisaria de ajuda de uma pessoa com conhecimentos técnicos para usar o sistema..;Eu acho que as várias funçőes do sistema estăo muito bem integradas..;Eu acho que o sistema apresenta muita inconsistęncia..;Eu imagino que as pessoas aprenderăo como usar esse sistema rapidamente..;Eu achei o sistema atrapalhado de usar..;Eu me senti confiante ao usar o sistema..;Eu precisei aprender várias coisas novas antes de conseguir usar o sistema..
1;03/07/2026 10:32;03/07/2026 11:34;anonymous;;Perfil[A];Caxias do sul/RS;Concordo Parcialmente;Nem concordo Nem discordo;Concordo Parcialmente;Concordo Totalmente;Concordo Parcialmente;Concordo Parcialmente;Nem concordo Nem discordo;Concordo Parcialmente;Discordo Parcialmente;Concordo Totalmente
2;03/07/2026 10:16;03/07/2026 11:40;anonymous;;Perfil[A];Ceilândia/DF;Concordo Totalmente;Discordo Totalmente;Concordo Totalmente;Discordo Totalmente;Concordo Totalmente;Discordo Totalmente;Concordo Totalmente;Discordo Parcialmente;Concordo Totalmente;Concordo Totalmente
3;03/07/2026 09:47;03/07/2026 11:43;anonymous;;Perfil[B];Sorocaba/SP;Nem concordo Nem discordo;Discordo Parcialmente;Concordo Parcialmente;Concordo Parcialmente;Discordo Parcialmente;Concordo Parcialmente;Concordo Parcialmente;Concordo Parcialmente;Discordo Totalmente;Concordo Totalmente
4;03/07/2026 11:57;03/07/2026 12:00;anonymous;;Perfil[A];Ceilândia/DF;Concordo Totalmente;Discordo Totalmente;Concordo Totalmente;Discordo Totalmente;Concordo Totalmente;Discordo Totalmente;Concordo Totalmente;Discordo Totalmente;Concordo Totalmente;Discordo Totalmente
5;03/07/2026 11:48;03/07/2026 12:06;anonymous;;Perfil[A];Sorocaba/SP;Nem concordo Nem discordo;Discordo Parcialmente;Nem concordo Nem discordo;Concordo Parcialmente;Concordo Parcialmente;Nem concordo Nem discordo;Concordo Totalmente;Discordo Parcialmente;Concordo Parcialmente;Discordo Totalmente
6;03/07/2026 11:55;03/07/2026 12:34;anonymous;;Perfil[B];Caxias do sul/RS;Concordo Totalmente;Discordo Totalmente;Concordo Totalmente;Concordo Parcialmente;Nem concordo Nem discordo;Discordo Totalmente;Concordo Parcialmente;Discordo Totalmente;Concordo Totalmente;Discordo Totalmente
7;03/07/2026 12:07;03/07/2026 12:38;anonymous;;Perfil[A];Sorocaba/SP;Concordo Totalmente;Concordo Totalmente;Discordo Parcialmente;Concordo Totalmente;Concordo Totalmente;Concordo Parcialmente;Concordo Totalmente;Discordo Totalmente;Discordo Parcialmente;Concordo Parcialmente
8;03/07/2026 12:38;03/07/2026 12:59;anonymous;;Perfil[B];Sorocaba/SP;Concordo Totalmente;Discordo Totalmente;Concordo Totalmente;Discordo Totalmente;Concordo Totalmente;Discordo Totalmente;Concordo Parcialmente;Discordo Totalmente;Concordo Totalmente;Discordo Totalmente
9;03/07/2026 14:05;03/07/2026 14:40;anonymous;;Perfil[B];Sorocaba/SP;Nem concordo Nem discordo;Discordo Parcialmente;Concordo Totalmente;Discordo Totalmente;Concordo Totalmente;Discordo Totalmente;Concordo Totalmente;Discordo Totalmente;Concordo Totalmente;Discordo Totalmente
10;03/07/2026 14:57;03/07/2026 15:16;anonymous;;Perfil[B];Sorocaba/SP;Nem concordo Nem discordo;Nem concordo Nem discordo;Nem concordo Nem discordo;Concordo Parcialmente;Concordo Parcialmente;Concordo Parcialmente;Discordo Parcialmente;Concordo Totalmente;Discordo Parcialmente;Concordo Totalmente
11;03/07/2026 12:38;03/07/2026 15:40;anonymous;;Perfil[A];Caxias do sul/RS;Concordo Parcialmente;Concordo Totalmente;Discordo Totalmente;Concordo Totalmente;Discordo Parcialmente;Concordo Totalmente;Concordo Totalmente;Concordo Totalmente;Discordo Parcialmente;Concordo Parcialmente
12;06/07/2026 11:49;06/07/2026 11:52;anonymous;;Perfil[A];Fortaleza/CE;Concordo Totalmente;Nem concordo Nem discordo;Nem concordo Nem discordo;Discordo Totalmente;Nem concordo Nem discordo;Concordo Parcialmente;Nem concordo Nem discordo;Discordo Totalmente;Discordo Totalmente;Nem concordo Nem discordo
13;06/07/2026 12:14;06/07/2026 12:18;anonymous;;Perfil[B];Fortaleza/CE;Concordo Parcialmente;Discordo Totalmente;Concordo Totalmente;Discordo Parcialmente;Concordo Parcialmente;Nem concordo Nem discordo;Concordo Totalmente;Discordo Parcialmente;Concordo Totalmente;Discordo Totalmente
14;06/07/2026 13:33;06/07/2026 13:38;anonymous;;Perfil[A];Fortaleza/CE;Concordo Parcialmente;Discordo Parcialmente;Concordo Parcialmente;Concordo Parcialmente;Concordo Totalmente;Discordo Parcialmente;Concordo Parcialmente;Discordo Totalmente;Concordo Parcialmente;Discordo Parcialmente
15;06/07/2026 14:31;06/07/2026 14:34;anonymous;;Perfil[A];Fortaleza/CE;Concordo Totalmente;Discordo Totalmente;Concordo Totalmente;Discordo Totalmente;Concordo Totalmente;Discordo Totalmente;Concordo Totalmente;Discordo Totalmente;Concordo Totalmente;Discordo Totalmente
16;06/07/2026 15:12;06/07/2026 15:14;anonymous;;Perfil[B];Fortaleza/CE;Concordo Parcialmente;Discordo Totalmente;Concordo Totalmente;Discordo Totalmente;Concordo Totalmente;Discordo Totalmente;Concordo Totalmente;Discordo Totalmente;Concordo Totalmente;Discordo Totalmente
17;07/07/2026 11:13;07/07/2026 11:21;anonymous;;Perfil[A];Manaus/AM;Concordo Parcialmente;Concordo Totalmente;Concordo Totalmente;Concordo Totalmente;Concordo Totalmente;Discordo Totalmente;Concordo Totalmente;Discordo Totalmente;Concordo Totalmente;Discordo Totalmente
18;07/07/2026 12:59;07/07/2026 13:03;anonymous;;Perfil[B];Manaus/AM;Concordo Totalmente;Discordo Totalmente;Discordo Parcialmente;Concordo Parcialmente;Concordo Totalmente;Discordo Totalmente;Concordo Parcialmente;Discordo Totalmente;Concordo Totalmente;Concordo Parcialmente
19;07/07/2026 14:52;07/07/2026 14:54;anonymous;;Perfil[B];Manaus/AM;Concordo Parcialmente;Concordo Parcialmente;Concordo Totalmente;Discordo Parcialmente;Concordo Parcialmente;Discordo Totalmente;Concordo Totalmente;Concordo Parcialmente;Concordo Totalmente;Concordo Totalmente
20;08/07/2026 09:41;08/07/2026 10:10;anonymous;;Perfil[A];Sorocaba/SP;Concordo Totalmente;Discordo Totalmente;Concordo Totalmente;Discordo Totalmente;Concordo Totalmente;Discordo Totalmente;Concordo Totalmente;Discordo Totalmente;Concordo Totalmente;Discordo Totalmente
21;08/07/2026 10:49;08/07/2026 10:50;anonymous;;Perfil[A];Natal/RN;Concordo Parcialmente;Nem concordo Nem discordo;Concordo Parcialmente;Discordo Totalmente;Nem concordo Nem discordo;Discordo Totalmente;Discordo Parcialmente;Nem concordo Nem discordo;Concordo Parcialmente;Discordo Totalmente
22;08/07/2026 10:21;08/07/2026 11:02;anonymous;;Perfil[A];Extrema/MG;Concordo Totalmente;Concordo Parcialmente;Concordo Totalmente;Discordo Parcialmente;Concordo Totalmente;Concordo Totalmente;Concordo Totalmente;Discordo Parcialmente;Concordo Totalmente;Concordo Totalmente
23;08/07/2026 11:10;08/07/2026 11:46;anonymous;;Perfil[B];Extrema/MG;Concordo Totalmente;Concordo Totalmente;Nem concordo Nem discordo;Concordo Parcialmente;Concordo Totalmente;Concordo Parcialmente;Concordo Totalmente;Concordo Parcialmente;Concordo Parcialmente;Concordo Totalmente
24;08/07/2026 11:59;08/07/2026 12:01;anonymous;;Perfil[A];Extrema/MG;Concordo Totalmente;Discordo Totalmente;Concordo Parcialmente;Discordo Totalmente;Concordo Totalmente;Discordo Totalmente;Concordo Totalmente;Discordo Totalmente;Concordo Parcialmente;Nem concordo Nem discordo
25;08/07/2026 12:03;08/07/2026 12:43;anonymous;;Perfil[A];Extrema/MG;Concordo Totalmente;Concordo Parcialmente;Concordo Parcialmente;Concordo Totalmente;Concordo Totalmente;Concordo Parcialmente;Discordo Totalmente;Concordo Parcialmente;Nem concordo Nem discordo;Concordo Totalmente
26;09/07/2026 10:12;09/07/2026 10:38;anonymous;;Perfil[A];Ceilândia/DF;Concordo Totalmente;Concordo Parcialmente;Concordo Parcialmente;Discordo Totalmente;Concordo Totalmente;Discordo Totalmente;Concordo Totalmente;Concordo Parcialmente;Concordo Totalmente;Concordo Parcialmente
27;09/07/2026 10:52;09/07/2026 10:55;anonymous;;Perfil[A];Ceilândia/DF;Discordo Totalmente;Concordo Totalmente;Discordo Parcialmente;Concordo Parcialmente;Discordo Totalmente;Concordo Totalmente;Discordo Totalmente;Concordo Parcialmente;Concordo Totalmente;Concordo Parcialmente
28;09/07/2026 11:04;09/07/2026 11:06;anonymous;;Perfil[A];Ceilândia/DF;Nem concordo Nem discordo;Discordo Parcialmente;Concordo Parcialmente;Discordo Totalmente;Concordo Totalmente;Concordo Parcialmente;Concordo Parcialmente;Discordo Totalmente;Concordo Parcialmente;Discordo Totalmente
29;09/07/2026 11:07;09/07/2026 11:29;anonymous;;Perfil[A];Ceilândia/DF;Concordo Totalmente;Concordo Parcialmente;Concordo Parcialmente;Discordo Totalmente;Concordo Totalmente;Concordo Parcialmente;Concordo Parcialmente;Discordo Totalmente;Concordo Totalmente;Discordo Totalmente
